Data 2,Open,High,Low,Close
Data 2,0,0,0,0
Data 2,26.49,27.9,26.48,25.67
Data 2,25.62,26.5,25.62,26.87
Data 2,25.31,25.68,25.3,28.55
Data 2,25.46,25.8,25.26,29.32
Data 2,25.69,25.77,25.33,28.26
Data 2,25.96,25.96,25.3,28.55
Data 2,26.32,26.32,25.8,30.18
Data 2,25.76,26.35,25.55,32.11
Data 2,25.27,26.06,25.15,29.14
Data 2,25.27,26.06,25.15,28.11
