Data 5,Open,High,Low,Close
Data 5,0,0,0,0
Data 5,26.49,27.9,26.48,1325.67
Data 5,25.62,26.5,25.62,1321.87
Data 5,25.31,25.68,25.3,1331.55
Data 5,25.46,25.8,25.26,1334.42
Data 5,25.69,25.77,25.33,1333.15
Data 5,25.96,25.96,25.3,1328.88
Data 5,26.32,26.32,25.8,1324.12
Data 5,25.76,26.35,25.55,1330.35
Data 5,25.27,26.06,25.15,1335.21
Data 5,25.27,26.06,25.15,1334.45
