Data 1,Open,High,Low,Close
Data 1,0,0,0,0
Data 1,26.49,27.9,26.48,28.32
Data 1,25.62,26.5,25.62,28.5
Data 1,25.31,25.68,25.3,27.91
Data 1,25.46,25.8,25.26,27.37
Data 1,25.69,25.77,25.33,28.26
Data 1,25.96,25.96,25.3,28.55
Data 1,26.32,26.32,25.8,28.65
Data 1,25.76,26.35,25.55,29.05
Data 1,25.27,26.06,25.15,28.64
Data 1,25.27,26.06,25.15,28.11
