Data 3,Open,High,Low,Close
Data 3,0,0,0,0
Data 3,26.49,27.9,26.48,125.67
Data 3,25.62,26.5,25.62,126.87
Data 3,25.31,25.68,25.3,128.55
Data 3,25.46,25.8,25.26,132.44
Data 3,25.69,25.77,25.33,123.55
Data 3,25.96,25.96,25.3,128.88
Data 3,26.32,26.32,25.8,130.12
Data 3,25.76,26.35,25.55,134.5
Data 3,25.27,26.06,25.15,139.21
Data 3,25.27,26.06,25.15,137.45
